iso3,sex,age,value
AFG,male,0,0.23724183006535948
AFG,male,1,0.23724183006535948
AFG,male,2,0.23724183006535948
AFG,male,3,0.23724183006535948
AFG,male,4,0.23724183006535948
AFG,male,5,0.23724183006535948
AFG,male,6,0.23724183006535948
AFG,male,7,0.23724183006535948
AFG,male,8,0.23724183006535948
AFG,male,9,0.23724183006535948
AFG,male,10,0.23724183006535948
AFG,male,11,0.23724183006535948
AFG,male,12,0.23724183006535948
AFG,male,13,0.23724183006535948
AFG,male,14,0.23724183006535948
AFG,male,15,0.23724183006535948
AFG,male,16,0.23724183006535948
AFG,male,17,0.23724183006535948
AFG,male,18,0.23724183006535948
AFG,male,19,0.23724183006535948
AFG,male,20,0.23724183006535948
AFG,male,21,0.23724183006535948
AFG,male,22,0.23724183006535948
AFG,male,23,0.23724183006535948
AFG,male,24,0.23724183006535948
AFG,male,25,0.23724183006535948
AFG,male,26,0.23724183006535948
AFG,male,27,0.23724183006535948
AFG,male,28,0.23724183006535948
AFG,male,29,0.23724183006535948
AFG,male,30,0.23724183006535948
AFG,male,31,0.23724183006535948
AFG,male,32,0.23724183006535948
AFG,male,33,0.23724183006535948
AFG,male,34,0.23724183006535948
AFG,male,35,0.23724183006535948
AFG,male,36,0.23724183006535948
AFG,male,37,0.23724183006535948
AFG,male,38,0.23724183006535948
AFG,male,39,0.23724183006535948
AFG,male,40,0.23724183006535948
AFG,male,41,0.23724183006535948
AFG,male,42,0.23724183006535948
AFG,male,43,0.23724183006535948
AFG,male,44,0.23724183006535948
AFG,male,45,0.23724183006535948
AFG,male,46,0.23724183006535948
AFG,male,47,0.23724183006535948
AFG,male,48,0.23724183006535948
AFG,male,49,0.23724183006535948
AFG,male,50,0.23724183006535948
AFG,male,51,0.23724183006535948
AFG,male,52,0.23724183006535948
AFG,male,53,0.23724183006535948
AFG,male,54,0.23724183006535948
AFG,male,55,0.23724183006535948
AFG,male,56,0.23724183006535948
AFG,male,57,0.23724183006535948
AFG,male,58,0.23724183006535948
AFG,male,59,0.23724183006535948
AFG,male,60,0.23724183006535948
AFG,male,61,0.23724183006535948
AFG,male,62,0.23724183006535948
AFG,male,63,0.23724183006535948
AFG,male,64,0.23724183006535948
AFG,male,65,0.23724183006535948
AFG,male,66,0.23724183006535948
AFG,male,67,0.23724183006535948
AFG,male,68,0.23724183006535948
AFG,male,69,0.23724183006535948
AFG,male,70,0.23724183006535948
AFG,male,71,0.23724183006535948
AFG,male,72,0.23724183006535948
AFG,male,73,0.23724183006535948
AFG,male,74,0.23724183006535948
AFG,male,75,0.23724183006535948
AFG,male,76,0.23724183006535948
AFG,male,77,0.23724183006535948
AFG,male,78,0.23724183006535948
AFG,male,79,0.23724183006535948
AFG,male,80,0.23724183006535948
AFG,male,81,0.23724183006535948
AFG,male,82,0.23724183006535948
AFG,male,83,0.23724183006535948
AFG,male,84,0.23724183006535948
AFG,male,85,0.23724183006535948
AFG,male,86,0.23724183006535948
AFG,male,87,0.23724183006535948
